2026-09-12 14:00:17] [Notice]   Loading external interface "MeshCore_Dynamic_Interface.py" from "/home/afi/.reticulum/interfaces"
[2026-09-12 14:09:40] [Info]     [PERF 9] DEQUEUE(channel) priority=1 queue_wait=5.054s depth=3
[2026-09-12 14:09:43] [Info]     [PERF 10] DEQUEUE(channel) priority=1 queue_wait=7.573s depth=2
[2026-09-12 14:09:45] [Info]     [PERF 10] DEQUEUE(channel) priority=1 queue_wait=10.098s depth=1
[2026-09-12 14:09:48] [Info]     [PERF 10] DEQUEUE(channel) priority=1 queue_wait=12.626s depth=0
[2026-09-12 14:09:55] [Info]     [PERF 11] OUT size=202 ptype=1 broadcast=True
[2026-09-12 14:09:55] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: Routing -> CHANNEL. Reason: Mandatory broadcast packet (e.g., Announce)
[2026-09-12 14:09:55] [Info]     [PERF 11] QUEUE(channel) priority=1 depth=1
[2026-09-12 14:09:55] [Info]     [PERF 11] QUEUE(channel) priority=1 depth=2
[2026-09-12 14:09:55] [Info]     [PERF 11] QUEUE(channel) priority=1 depth=3
[2026-09-12 14:09:55] [Info]     [PERF 11] DEQUEUE(channel) priority=1 queue_wait=0.000s depth=2
[2026-09-12 14:09:58] [Info]     [PERF 11] DEQUEUE(channel) priority=1 queue_wait=2.527s depth=1
[2026-09-12 14:10:00] [Info]     [PERF 11] DEQUEUE(channel) priority=1 queue_wait=5.052s depth=0
[2026-09-12 14:10:05] [Info]     [PERF 12] OUT size=51 ptype=0 broadcast=True
[2026-09-12 14:10:05] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: Routing -> CHANNEL. Reason: Mandatory broadcast packet (e.g., Announce)
[2026-09-12 14:10:05] [Info]     [PERF 12] QUEUE(channel) priority=1 depth=1
[2026-09-12 14:10:05] [Info]     [PERF 12] DEQUEUE(channel) priority=1 queue_wait=0.003s depth=0
[2026-09-12 14:10:10] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: Linked RNS token 90d981fb -> 'b'
[2026-09-12 14:10:10] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: RX -> CHANNEL from 'b'. Reassembled 237b ANNOUNCE packet.
[2026-09-12 14:10:15] [Info]     [PERF 13] OUT size=51 ptype=0 broadcast=True
[2026-09-12 14:10:15] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: Routing -> CHANNEL. Reason: Mandatory broadcast packet (e.g., Announce)
[2026-09-12 14:10:15] [Info]     [PERF 13] QUEUE(channel) priority=1 depth=1
[2026-09-12 14:10:15] [Info]     [PERF 13] DEQUEUE(channel) priority=1 queue_wait=0.000s depth=0
[2026-09-12 14:10:18] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: [STATS] uptime=601s -- TX: 2127B total, 41bps (10s avg), peak 1 frag/s -- RX: 237B total, 190bps (10s avg), peak 2 frag/s -- flood sends (last 60s): 12
[2026-09-12 14:10:18] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: [STATS] direct sends: 0 total, 0 failed (0.0%) -- per-link failure rate: no direct sends yet
[2026-09-12 14:10:18] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: [STATS] RNS-level TX latency (queue-to-delivered, n=14): avg=9463ms min=17ms max=21290ms -- MeshCore-level DIRECT send+ACK RTT (n=0): avg=0ms min=0ms max=0ms -- per-link: no direct ACKs yet
[2026-09-12 14:10:18] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: [STATS] peer hops: b=1 -- local mesh utilization: noise_floor=-118dBm last_rssi=-51dBm last_snr=11.75dB rx_channel_util=28.3% (ALL traffic on this channel, not just ours) recv=47 sent=34 recv_errors=0
[2026-09-12 14:10:19] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: Linked RNS token c5427c7a -> 'b'
[2026-09-12 14:10:19] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: RX -> CHANNEL from 'b'. Reassembled 202b ANNOUNCE packet.
[2026-09-12 14:10:25] [Info]     [PERF 14] OUT size=51 ptype=0 broadcast=True
[2026-09-12 14:10:25] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: Routing -> CHANNEL. Reason: Mandatory broadcast packet (e.g., Announce)
[2026-09-12 14:10:25] [Info]     [PERF 14] QUEUE(channel) priority=1 depth=1
[2026-09-12 14:10:25] [Info]     [PERF 14] DEQUEUE(channel) priority=1 queue_wait=0.001s depth=0
[2026-09-12 14:10:33] [Info]     [PERF 15] OUT size=99 ptype=2 broadcast=False
[2026-09-12 14:10:33] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: Routing -> DIRECT via peer key 7bd024b5d082... [out_path_len=1 out_path=19]
[2026-09-12 14:10:33] [Info]     [PERF 15] QUEUE(direct) priority=0 depth=1
[2026-09-12 14:10:33] [Info]     [PERF 15] QUEUE(direct) priority=0 depth=1
[2026-09-12 14:10:33] [Info]     [PERF 15] DEQUEUE(direct) priority=0 queue_wait=0.000s depth=1
[2026-09-12 14:10:33] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: Firmware suggested 10924ms ACK timeout for peer key 7bd024b5d082... (likely flood/no-path) -- capping wait at 8.0s instead of 13.1s to avoid blocking the outgoing queue.
[2026-09-12 14:10:37] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: Linked RNS token 8713640f -> 'b'
[2026-09-12 14:10:37] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: Pre-bound link_id 055d8185 -> 'b' from LINK_REQUEST
[2026-09-12 14:10:37] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: RX -> CHANNEL from 'b'. Reassembled 83b LINK_REQ packet.
[2026-09-12 14:10:37] [Info]     [PERF 16] OUT size=118 ptype=3 broadcast=False
[2026-09-12 14:10:37] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: Routing -> DIRECT via peer key 7bd024b5d082... [out_path_len=1 out_path=19]
[2026-09-12 14:10:37] [Info]     [PERF 16] QUEUE(direct) priority=0 depth=2
[2026-09-12 14:10:37] [Info]     [PERF 16] QUEUE(direct) priority=0 depth=3
